,S1,ST,S1_conf,ST_conf
cup_inclination,0.48174942632566514,0.4767829373944727,0.05749312565718568,0.042388982396635
cup_anteversion,0.5252947185585543,0.5202397155424063,0.05636600163323549,0.041010112336505374
