,S1,ST,S1_conf,ST_conf
age,0.04382449490578882,0.03588909273425872,0.02068959248106969,0.004875311418247894
pi,0.0332705931900262,0.3324541059457463,0.08225105098038313,0.050533823669147236
ss,0.10373166833973715,0.1859439002157684,0.04860056457884092,0.024811796049649112
ll_l1s1,0.24680140653305177,0.49934577174703176,0.07363507109524514,0.07978400370284817
ll_l4s1,0.019627280279691222,0.17028857581316995,0.04995463581267867,0.02548941114042287
gt,0.1725317883392756,0.22316221860685154,0.06236828891030742,0.02702239666646282
