seed,swept_param,swept_value,total,category
MD,age,45.20408163265306,3,MD
MD,age,46.53061224489796,3,MD
MD,age,47.857142857142854,3,MD
MD,age,49.183673469387756,3,MD
MD,age,50.51020408163265,3,MD
MD,age,51.836734693877546,3,MD
MD,age,53.16326530612245,3,MD
MD,age,54.48979591836734,3,MD
MD,age,55.816326530612244,3,MD
MD,age,57.14285714285714,3,MD
MD,age,58.46938775510204,3,MD
MD,age,59.795918367346935,3,MD
MD,age,61.12244897959184,4,MD
MD,age,62.44897959183673,4,MD
MD,age,63.77551020408163,4,MD
MD,age,65.10204081632654,4,MD
MD,age,66.42857142857142,4,MD
MD,age,67.75510204081633,4,MD
MD,age,69.08163265306122,4,MD
MD,age,70.40816326530611,4,MD
MD,age,71.73469387755102,4,MD
MD,age,73.06122448979592,4,MD
MD,age,74.38775510204081,4,MD
MD,age,75.71428571428571,4,MD
MD,age,77.0408163265306,4,MD
MD,age,78.36734693877551,4,MD
MD,age,79.6938775510204,4,MD
MD,age,81.0204081632653,4,MD
MD,age,82.34693877551021,4,MD
MD,age,83.67346938775509,4,MD
MD,age,85.0,4,MD
MD,pi,25.0,2,P
MD,pi,26.3265306122449,2,P
MD,pi,27.653061224489797,2,P
MD,pi,28.979591836734695,2,P
MD,pi,30.306122448979593,2,P
MD,pi,31.632653061224488,1,P
MD,pi,32.95918367346939,1,P
MD,pi,34.285714285714285,1,P
MD,pi,35.61224489795919,1,P
MD,pi,36.93877551020408,1,P
MD,pi,38.265306122448976,1,P
MD,pi,39.59183673469388,1,P
MD,pi,40.91836734693877,1,P
MD,pi,42.244897959183675,1,P
MD,pi,43.57142857142857,1,P
MD,pi,44.897959183673464,1,P
MD,pi,46.224489795918366,1,P
MD,pi,47.55102040816327,1,P
MD,pi,48.87755102040816,1,P
MD,pi,50.20408163265306,1,P
MD,pi,51.53061224489796,3,MD
MD,pi,52.857142857142854,3,MD
MD,pi,54.183673469387756,3,MD
MD,pi,55.51020408163265,3,MD
MD,pi,56.836734693877546,6,MD
MD,pi,58.16326530612245,6,MD
MD,pi,59.48979591836734,6,MD
MD,pi,60.816326530612244,6,MD
MD,pi,62.14285714285714,6,MD
MD,pi,63.46938775510204,6,MD
MD,pi,64.79591836734693,7,SD
MD,pi,66.12244897959184,7,SD
MD,pi,67.44897959183673,7,SD
MD,pi,68.77551020408163,7,SD
MD,pi,70.10204081632654,7,SD
MD,pi,71.42857142857142,7,SD
MD,pi,72.75510204081633,7,SD
MD,pi,74.08163265306122,7,SD
MD,pi,75.40816326530611,8,SD
MD,pi,76.73469387755102,8,SD
MD,pi,78.06122448979592,8,SD
MD,pi,79.38775510204081,8,SD
MD,pi,80.71428571428571,8,SD
MD,pi,82.0408163265306,8,SD
MD,pi,83.36734693877551,8,SD
MD,pi,84.6938775510204,8,SD
MD,pi,86.0204081632653,8,SD
MD,pi,87.34693877551021,8,SD
MD,pi,88.67346938775509,8,SD
MD,pi,90.0,8,SD
MD,ss,5.0,4,MD
MD,ss,6.224489795918368,4,MD
MD,ss,7.448979591836735,4,MD
MD,ss,8.673469387755102,4,MD
MD,ss,9.89795918367347,4,MD
MD,ss,11.122448979591837,4,MD
MD,ss,12.346938775510203,4,MD
MD,ss,13.571428571428571,4,MD
MD,ss,14.795918367346939,4,MD
MD,ss,16.02040816326531,4,MD
MD,ss,17.244897959183675,4,MD
MD,ss,18.46938775510204,4,MD
MD,ss,19.693877551020407,4,MD
MD,ss,20.918367346938776,4,MD
MD,ss,22.142857142857142,4,MD
MD,ss,23.367346938775512,4,MD
MD,ss,24.591836734693878,4,MD
MD,ss,25.816326530612244,4,MD
MD,ss,27.040816326530614,3,MD
MD,ss,28.26530612244898,3,MD
MD,ss,29.48979591836735,3,MD
MD,ss,30.714285714285715,3,MD
MD,ss,31.93877551020408,3,MD
MD,ss,33.163265306122454,3,MD
MD,ss,34.38775510204081,1,P
MD,ss,35.61224489795919,1,P
MD,ss,36.83673469387755,1,P
MD,ss,38.06122448979592,1,P
MD,ss,39.285714285714285,1,P
MD,ss,40.51020408163265,1,P
MD,ss,41.734693877551024,1,P
MD,ss,42.95918367346939,1,P
MD,ss,44.183673469387756,1,P
MD,ss,45.40816326530612,1,P
MD,ss,46.63265306122449,2,P
MD,ss,47.85714285714286,2,P
MD,ss,49.08163265306123,2,P
MD,ss,50.30612244897959,2,P
MD,ss,51.53061224489796,2,P
MD,ss,52.755102040816325,2,P
MD,ss,53.9795918367347,2,P
MD,ss,55.204081632653065,2,P
MD,ss,56.42857142857143,2,P
MD,ss,57.6530612244898,2,P
MD,ss,58.87755102040816,2,P
MD,ss,60.10204081632653,2,P
MD,ss,61.3265306122449,2,P
MD,ss,62.55102040816327,2,P
MD,ss,63.775510204081634,2,P
MD,ss,65.0,2,P
MD,ll_l1s1,5.0,8,SD
MD,ll_l1s1,6.63265306122449,8,SD
MD,ll_l1s1,8.26530612244898,8,SD
MD,ll_l1s1,9.89795918367347,8,SD
MD,ll_l1s1,11.53061224489796,8,SD
MD,ll_l1s1,13.16326530612245,8,SD
MD,ll_l1s1,14.795918367346939,8,SD
MD,ll_l1s1,16.42857142857143,8,SD
