seed,swept_param,swept_value,total,category
STIFF,ss_standing,33.36734693877551,71,HIGH
STIFF,ss_standing,34.285714285714285,71,HIGH
STIFF,ss_standing,35.20408163265306,71,HIGH
STIFF,ss_standing,36.12244897959184,71,HIGH
STIFF,ss_standing,37.04081632653062,71,HIGH
STIFF,ss_standing,37.95918367346939,71,HIGH
STIFF,ss_standing,38.87755102040816,71,HIGH
STIFF,ss_standing,39.79591836734694,71,HIGH
STIFF,ss_standing,40.714285714285715,71,HIGH
STIFF,ss_standing,41.63265306122449,71,HIGH
STIFF,ss_standing,42.55102040816327,71,HIGH
STIFF,ss_standing,43.46938775510204,41,WATCH
STIFF,ss_standing,44.38775510204081,41,WATCH
STIFF,ss_standing,45.30612244897959,41,WATCH
STIFF,ss_standing,46.22448979591837,41,WATCH
STIFF,ss_standing,47.142857142857146,41,WATCH
STIFF,ss_standing,48.06122448979592,41,WATCH
STIFF,ss_standing,48.97959183673469,41,WATCH
STIFF,ss_standing,49.89795918367347,41,WATCH
STIFF,ss_standing,50.816326530612244,41,WATCH
STIFF,ss_standing,51.734693877551024,41,WATCH
STIFF,ss_standing,52.6530612244898,41,WATCH
STIFF,ss_standing,53.57142857142857,41,WATCH
STIFF,ss_standing,54.48979591836735,41,WATCH
STIFF,ss_standing,55.40816326530612,41,WATCH
STIFF,ss_standing,56.3265306122449,41,WATCH
STIFF,ss_standing,57.244897959183675,41,WATCH
STIFF,ss_standing,58.16326530612245,41,WATCH
STIFF,ss_standing,59.08163265306123,41,WATCH
STIFF,ss_standing,60.0,41,WATCH
STIFF,ss_sitting,-5.0,75,HIGH
STIFF,ss_sitting,-3.7755102040816326,75,HIGH
STIFF,ss_sitting,-2.5510204081632653,75,HIGH
STIFF,ss_sitting,-1.3265306122448979,71,HIGH
STIFF,ss_sitting,-0.1020408163265305,71,HIGH
STIFF,ss_sitting,1.1224489795918373,71,HIGH
STIFF,ss_sitting,2.3469387755102042,71,HIGH
STIFF,ss_sitting,3.571428571428571,71,HIGH
STIFF,ss_sitting,4.795918367346939,71,HIGH
STIFF,ss_sitting,6.020408163265307,71,HIGH
STIFF,ss_sitting,7.244897959183675,71,HIGH
STIFF,ss_sitting,8.46938775510204,45,WATCH
STIFF,ss_sitting,9.693877551020408,45,WATCH
STIFF,ss_sitting,10.918367346938776,41,WATCH
STIFF,ss_sitting,12.142857142857142,41,WATCH
STIFF,ss_sitting,13.367346938775512,41,WATCH
STIFF,ss_sitting,14.591836734693878,41,WATCH
STIFF,ss_sitting,15.816326530612244,41,WATCH
STIFF,ss_sitting,17.040816326530614,41,WATCH
STIFF,ss_sitting,18.26530612244898,41,WATCH
STIFF,ss_sitting,19.48979591836735,41,WATCH
STIFF,ss_sitting,20.714285714285715,41,WATCH
STIFF,ss_sitting,21.93877551020408,41,WATCH
STIFF,ss_sitting,23.16326530612245,41,WATCH
STIFF,ss_sitting,24.387755102040817,41,WATCH
STIFF,ss_sitting,25.612244897959183,41,WATCH
STIFF,ss_sitting,26.836734693877553,41,WATCH
STIFF,ss_sitting,28.06122448979592,71,HIGH
STIFF,ss_sitting,29.285714285714285,71,HIGH
STIFF,ss_sitting,30.51020408163265,71,HIGH
STIFF,ss_sitting,31.734693877551024,71,HIGH
STIFF,ss_sitting,32.95918367346939,71,HIGH
STIFF,ss_sitting,34.183673469387756,71,HIGH
STIFF,ss_sitting,35.40816326530612,71,HIGH
STIFF,ss_sitting,36.63265306122449,71,HIGH
STIFF,ss_sitting,37.85714285714286,71,HIGH
STIFF,ss_sitting,39.08163265306123,71,HIGH
STIFF,ss_sitting,40.30612244897959,71,HIGH
STIFF,ss_sitting,41.53061224489796,71,HIGH
STIFF,ss_sitting,42.755102040816325,71,HIGH
STIFF,ss_sitting,43.9795918367347,71,HIGH
STIFF,ss_sitting,45.204081632653065,71,HIGH
STIFF,ss_sitting,46.42857142857143,71,HIGH
STIFF,ss_sitting,47.6530612244898,71,HIGH
STIFF,ss_sitting,48.87755102040816,71,HIGH
STIFF,ss_sitting,50.10204081632653,87,HIGH
STIFF,ss_sitting,51.3265306122449,87,HIGH
STIFF,ss_sitting,52.55102040816327,87,HIGH
STIFF,ss_sitting,53.775510204081634,87,HIGH
STIFF,ss_sitting,55.0,87,HIGH
STIFF,pt_standing,-10.0,71,HIGH
STIFF,pt_standing,-8.979591836734693,71,HIGH
STIFF,pt_standing,-7.959183673469388,71,HIGH
STIFF,pt_standing,-6.938775510204081,71,HIGH
STIFF,pt_standing,-5.918367346938775,71,HIGH
STIFF,pt_standing,-4.8979591836734695,71,HIGH
STIFF,pt_standing,-3.8775510204081627,71,HIGH
STIFF,pt_standing,-2.8571428571428568,71,HIGH
STIFF,pt_standing,-1.8367346938775508,71,HIGH
STIFF,pt_standing,-0.816326530612244,71,HIGH
STIFF,pt_standing,0.204081632653061,71,HIGH
STIFF,pt_standing,1.2244897959183678,71,HIGH
STIFF,pt_standing,2.2448979591836746,71,HIGH
STIFF,pt_standing,3.2653061224489797,71,HIGH
STIFF,pt_standing,4.2857142857142865,71,HIGH
STIFF,pt_standing,5.3061224489795915,71,HIGH
STIFF,pt_standing,6.326530612244898,71,HIGH
STIFF,pt_standing,7.346938775510203,71,HIGH
STIFF,pt_standing,8.367346938775512,71,HIGH
STIFF,pt_standing,9.387755102040817,71,HIGH
STIFF,pt_standing,10.408163265306122,71,HIGH
STIFF,pt_standing,11.42857142857143,71,HIGH
STIFF,pt_standing,12.448979591836736,71,HIGH
STIFF,pt_standing,13.46938775510204,71,HIGH
STIFF,pt_standing,14.48979591836735,71,HIGH
STIFF,pt_standing,15.510204081632654,71,HIGH
STIFF,pt_standing,16.53061224489796,71,HIGH
STIFF,pt_standing,17.551020408163264,71,HIGH
STIFF,pt_standing,18.571428571428573,71,HIGH
STIFF,pt_standing,19.591836734693878,71,HIGH
STIFF,pt_standing,20.612244897959183,71,HIGH
STIFF,pt_standing,21.63265306122449,71,HIGH
STIFF,pt_standing,22.653061224489797,71,HIGH
STIFF,pt_standing,23.673469387755105,71,HIGH
STIFF,pt_standing,24.693877551020407,71,HIGH
STIFF,pt_standing,25.714285714285715,71,HIGH
STIFF,pt_standing,26.734693877551024,71,HIGH
STIFF,pt_standing,27.755102040816325,71,HIGH
STIFF,pt_standing,28.775510204081634,71,HIGH
STIFF,pt_standing,29.795918367346943,71,HIGH
STIFF,pt_standing,30.816326530612244,71,HIGH
STIFF,pt_standing,31.836734693877553,71,HIGH
STIFF,pt_standing,32.85714285714286,71,HIGH
STIFF,pt_standing,33.87755102040816,71,HIGH
STIFF,pt_standing,34.89795918367347,71,HIGH
STIFF,pt_standing,35.91836734693878,71,HIGH
STIFF,pt_standing,36.93877551020408,71,HIGH
STIFF,pt_standing,37.95918367346939,71,HIGH
STIFF,pt_standing,38.9795918367347,71,HIGH
STIFF,pt_standing,40.0,71,HIGH
STIFF,cup_anteversion,0.0,87,HIGH
STIFF,cup_anteversion,0.9183673469387755,87,HIGH
STIFF,cup_anteversion,1.836734693877551,87,HIGH
STIFF,cup_anteversion,2.7551020408163267,87,HIGH
STIFF,cup_anteversion,3.673469387755102,87,HIGH
STIFF,cup_anteversion,4.591836734693878,87,HIGH
STIFF,cup_anteversion,5.510204081632653,87,HIGH
STIFF,cup_anteversion,6.428571428571429,87,HIGH
STIFF,cup_anteversion,7.346938775510204,71,HIGH
STIFF,cup_anteversion,8.26530612244898,71,HIGH
STIFF,cup_anteversion,9.183673469387756,71,HIGH
STIFF,cup_anteversion,10.10204081632653,71,HIGH
STIFF,cup_anteversion,11.020408163265307,71,HIGH
STIFF,cup_anteversion,11.938775510204081,71,HIGH
STIFF,cup_anteversion,12.857142857142858,71,HIGH
STIFF,cup_anteversion,13.775510204081632,71,HIGH
STIFF,cup_anteversion,14.693877551020408,71,HIGH
STIFF,cup_anteversion,15.612244897959185,71,HIGH
STIFF,cup_anteversion,16.53061224489796,71,HIGH
STIFF,cup_anteversion,17.448979591836736,71,HIGH
STIFF,cup_anteversion,18.367346938775512,71,HIGH
STIFF,cup_anteversion,19.285714285714285,71,HIGH
STIFF,cup_anteversion,20.20408163265306,71,HIGH
STIFF,cup_anteversion,21.122448979591837,71,HIGH
STIFF,cup_anteversion,22.040816326530614,71,HIGH
STIFF,cup_anteversion,22.95918367346939,71,HIGH
STIFF,cup_anteversion,23.877551020408163,57,WATCH
STIFF,cup_anteversion,24.79591836734694,57,WATCH
